Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall
ara_UMC_5200,rep1,sequencing_10X,CircleMap,<1kb,3081,8,0.0026
ara_UMC_5200,rep1,sequencing_10X,CircleMap,1-5kb,1742,324,0.186
ara_UMC_5200,rep1,sequencing_10X,CircleMap,5-50kb,269,74,0.2751
ara_UMC_5200,rep1,sequencing_10X,CircleMap,>50kb,108,55,0.5093
ara_UMC_5200,rep1,sequencing_10X,CircleSeeker,<1kb,3081,2868,0.9309
ara_UMC_5200,rep1,sequencing_10X,CircleSeeker,1-5kb,1742,1652,0.9483
ara_UMC_5200,rep1,sequencing_10X,CircleSeeker,5-50kb,269,202,0.7509
ara_UMC_5200,rep1,sequencing_10X,CircleSeeker,>50kb,108,42,0.3889
ara_UMC_5200,rep1,sequencing_10X,CReSIL,<1kb,3081,763,0.2476
ara_UMC_5200,rep1,sequencing_10X,CReSIL,1-5kb,1742,595,0.3416
ara_UMC_5200,rep1,sequencing_10X,CReSIL,5-50kb,269,75,0.2788
ara_UMC_5200,rep1,sequencing_10X,CReSIL,>50kb,108,37,0.3426
ara_UMC_5200,rep1,sequencing_10X,CReSIL_HiFi,<1kb,3081,1055,0.3424
ara_UMC_5200,rep1,sequencing_10X,CReSIL_HiFi,1-5kb,1742,614,0.3525
ara_UMC_5200,rep1,sequencing_10X,CReSIL_HiFi,5-50kb,269,72,0.2677
ara_UMC_5200,rep1,sequencing_10X,CReSIL_HiFi,>50kb,108,42,0.3889
ara_UMC_5200,rep1,sequencing_10X,eccDNA_RCA,<1kb,3081,1707,0.554
ara_UMC_5200,rep1,sequencing_10X,eccDNA_RCA,1-5kb,1742,1233,0.7078
ara_UMC_5200,rep1,sequencing_10X,eccDNA_RCA,5-50kb,269,37,0.1375
ara_UMC_5200,rep1,sequencing_10X,eccDNA_RCA,>50kb,108,0,0.0
ara_UMC_5200,rep1,sequencing_10X,ecc_finder,<1kb,3081,0,0.0
ara_UMC_5200,rep1,sequencing_10X,ecc_finder,1-5kb,1742,2,0.0011
ara_UMC_5200,rep1,sequencing_10X,ecc_finder,5-50kb,269,6,0.0223
ara_UMC_5200,rep1,sequencing_10X,ecc_finder,>50kb,108,15,0.1389
ara_UMC_5200,rep2,sequencing_10X,CircleMap,<1kb,3076,8,0.0026
ara_UMC_5200,rep2,sequencing_10X,CircleMap,1-5kb,1712,307,0.1793
ara_UMC_5200,rep2,sequencing_10X,CircleMap,5-50kb,322,101,0.3137
ara_UMC_5200,rep2,sequencing_10X,CircleMap,>50kb,90,43,0.4778
ara_UMC_5200,rep2,sequencing_10X,CircleSeeker,<1kb,3076,2840,0.9233
ara_UMC_5200,rep2,sequencing_10X,CircleSeeker,1-5kb,1712,1616,0.9439
ara_UMC_5200,rep2,sequencing_10X,CircleSeeker,5-50kb,322,212,0.6584
ara_UMC_5200,rep2,sequencing_10X,CircleSeeker,>50kb,90,30,0.3333
ara_UMC_5200,rep2,sequencing_10X,CReSIL,<1kb,3076,752,0.2445
ara_UMC_5200,rep2,sequencing_10X,CReSIL,1-5kb,1712,619,0.3616
ara_UMC_5200,rep2,sequencing_10X,CReSIL,5-50kb,322,81,0.2516
ara_UMC_5200,rep2,sequencing_10X,CReSIL,>50kb,90,24,0.2667
ara_UMC_5200,rep2,sequencing_10X,CReSIL_HiFi,<1kb,3076,1081,0.3514
ara_UMC_5200,rep2,sequencing_10X,CReSIL_HiFi,1-5kb,1712,641,0.3744
ara_UMC_5200,rep2,sequencing_10X,CReSIL_HiFi,5-50kb,322,88,0.2733
ara_UMC_5200,rep2,sequencing_10X,CReSIL_HiFi,>50kb,90,30,0.3333
ara_UMC_5200,rep2,sequencing_10X,eccDNA_RCA,<1kb,3076,1724,0.5605
ara_UMC_5200,rep2,sequencing_10X,eccDNA_RCA,1-5kb,1712,1217,0.7109
ara_UMC_5200,rep2,sequencing_10X,eccDNA_RCA,5-50kb,322,36,0.1118
ara_UMC_5200,rep2,sequencing_10X,eccDNA_RCA,>50kb,90,0,0.0
ara_UMC_5200,rep2,sequencing_10X,ecc_finder,<1kb,3076,1,0.0003
ara_UMC_5200,rep2,sequencing_10X,ecc_finder,1-5kb,1712,6,0.0035
ara_UMC_5200,rep2,sequencing_10X,ecc_finder,5-50kb,322,9,0.028
ara_UMC_5200,rep2,sequencing_10X,ecc_finder,>50kb,90,9,0.1
ara_UMC_5200,rep3,sequencing_10X,CircleMap,<1kb,3073,8,0.0026
ara_UMC_5200,rep3,sequencing_10X,CircleMap,1-5kb,1764,292,0.1655
ara_UMC_5200,rep3,sequencing_10X,CircleMap,5-50kb,276,79,0.2862
ara_UMC_5200,rep3,sequencing_10X,CircleMap,>50kb,87,49,0.5632
ara_UMC_5200,rep3,sequencing_10X,CircleSeeker,<1kb,3073,2848,0.9268
ara_UMC_5200,rep3,sequencing_10X,CircleSeeker,1-5kb,1764,1665,0.9439
ara_UMC_5200,rep3,sequencing_10X,CircleSeeker,5-50kb,276,179,0.6486
ara_UMC_5200,rep3,sequencing_10X,CircleSeeker,>50kb,87,37,0.4253
ara_UMC_5200,rep3,sequencing_10X,CReSIL,<1kb,3073,801,0.2607
ara_UMC_5200,rep3,sequencing_10X,CReSIL,1-5kb,1764,622,0.3526
ara_UMC_5200,rep3,sequencing_10X,CReSIL,5-50kb,276,68,0.2464
ara_UMC_5200,rep3,sequencing_10X,CReSIL,>50kb,87,30,0.3448
ara_UMC_5200,rep3,sequencing_10X,CReSIL_HiFi,<1kb,3073,1121,0.3648
ara_UMC_5200,rep3,sequencing_10X,CReSIL_HiFi,1-5kb,1764,643,0.3645
ara_UMC_5200,rep3,sequencing_10X,CReSIL_HiFi,5-50kb,276,77,0.279
ara_UMC_5200,rep3,sequencing_10X,CReSIL_HiFi,>50kb,87,36,0.4138
ara_UMC_5200,rep3,sequencing_10X,eccDNA_RCA,<1kb,3073,1744,0.5675
ara_UMC_5200,rep3,sequencing_10X,eccDNA_RCA,1-5kb,1764,1213,0.6876
ara_UMC_5200,rep3,sequencing_10X,eccDNA_RCA,5-50kb,276,30,0.1087
ara_UMC_5200,rep3,sequencing_10X,eccDNA_RCA,>50kb,87,0,0.0
ara_UMC_5200,rep3,sequencing_10X,ecc_finder,<1kb,3073,2,0.0007
