Tool,Dataset,Rep,Depth,Time_seconds,Memory_GB,CS_Internal_Time_seconds
CReSIL,ara_UMC_5200,rep1,sequencing_10X,13248.0,4.66,
CReSIL,ara_UMC_5200,rep1,sequencing_30X,22746.0,5.83,
CReSIL,ara_UMC_5200,rep1,sequencing_50X,28700.0,5.84,
CReSIL,ara_UMC_5200,rep2,sequencing_10X,13335.0,3.71,
CReSIL,ara_UMC_5200,rep2,sequencing_30X,24212.0,5.73,
CReSIL,ara_UMC_5200,rep2,sequencing_50X,31317.0,5.77,
CReSIL,ara_UMC_5200,rep3,sequencing_10X,13902.0,4.66,
CReSIL,ara_UMC_5200,rep3,sequencing_30X,24449.0,5.8,
CReSIL,ara_UMC_5200,rep3,sequencing_50X,32088.0,5.8,
CReSIL,human_23000,rep1,sequencing_10X,98594.0,8.17,
CReSIL,human_23000,rep1,sequencing_30X,187947.0,8.31,
CReSIL,human_23000,rep1,sequencing_50X,228937.0,12.0,
CReSIL,human_23000,rep2,sequencing_10X,97399.0,8.24,
CReSIL,human_23000,rep2,sequencing_30X,184765.0,8.24,
CReSIL,human_23000,rep2,sequencing_50X,230885.0,12.51,
CReSIL,human_23000,rep3,sequencing_10X,98562.0,8.16,
CReSIL,human_23000,rep3,sequencing_30X,181577.0,8.23,
CReSIL,human_23000,rep3,sequencing_50X,230574.0,11.82,
CReSIL,human_U_10000,rep1,sequencing_10X,47185.0,11.24,
CReSIL,human_U_10000,rep1,sequencing_30X,91563.0,12.0,
CReSIL,human_U_10000,rep1,sequencing_50X,123522.0,11.85,
CReSIL,human_U_10000,rep2,sequencing_10X,52344.0,11.35,
CReSIL,human_U_10000,rep2,sequencing_30X,89739.0,12.51,
CReSIL,human_U_10000,rep2,sequencing_50X,120064.0,12.84,
CReSIL,human_U_10000,rep3,sequencing_10X,45042.0,11.11,
CReSIL,human_U_10000,rep3,sequencing_30X,89252.0,12.04,
CReSIL,human_U_10000,rep3,sequencing_50X,118415.0,11.98,
CReSIL_HiFi,ara_UMC_5200,rep1,sequencing_10X,339.01,7.08,
CReSIL_HiFi,ara_UMC_5200,rep1,sequencing_30X,843.5,10.58,
CReSIL_HiFi,ara_UMC_5200,rep1,sequencing_50X,1273.96,12.01,
CReSIL_HiFi,ara_UMC_5200,rep2,sequencing_10X,339.46,7.36,
CReSIL_HiFi,ara_UMC_5200,rep2,sequencing_30X,805.5,11.37,
CReSIL_HiFi,ara_UMC_5200,rep2,sequencing_50X,1223.74,11.53,
CReSIL_HiFi,ara_UMC_5200,rep3,sequencing_10X,328.29,8.22,
CReSIL_HiFi,ara_UMC_5200,rep3,sequencing_30X,786.98,12.32,
CReSIL_HiFi,ara_UMC_5200,rep3,sequencing_50X,1208.27,12.36,
CReSIL_HiFi,human_23000,rep1,sequencing_10X,1674.18,19.46,
CReSIL_HiFi,human_23000,rep1,sequencing_30X,5587.0,20.99,
CReSIL_HiFi,human_23000,rep1,sequencing_50X,9031.0,20.89,
CReSIL_HiFi,human_23000,rep2,sequencing_10X,1742.11,18.18,
CReSIL_HiFi,human_23000,rep2,sequencing_30X,5450.0,20.12,
CReSIL_HiFi,human_23000,rep2,sequencing_50X,9272.0,21.55,
CReSIL_HiFi,human_23000,rep3,sequencing_10X,1768.11,18.59,
CReSIL_HiFi,human_23000,rep3,sequencing_30X,5373.0,21.51,
CReSIL_HiFi,human_23000,rep3,sequencing_50X,8994.0,20.59,
CReSIL_HiFi,human_U_10000,rep1,sequencing_10X,813.68,14.71,
