Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall,tool_display
human_U_10000,rep1,sequencing_10X,CircleSeeker,<1kb,5804,5484,0.9449,CircleSeeker
human_U_10000,rep2,sequencing_10X,CircleSeeker,<1kb,5826,5482,0.941,CircleSeeker
human_U_10000,rep3,sequencing_10X,CircleSeeker,<1kb,5842,5507,0.9427,CircleSeeker
human_U_10000,rep1,sequencing_10X,CircleSeeker,1-5kb,3558,3397,0.9547,CircleSeeker
human_U_10000,rep2,sequencing_10X,CircleSeeker,1-5kb,3574,3401,0.9516,CircleSeeker
human_U_10000,rep3,sequencing_10X,CircleSeeker,1-5kb,3562,3399,0.9542,CircleSeeker
human_U_10000,rep1,sequencing_10X,CircleSeeker,5-50kb,361,291,0.8061,CircleSeeker
human_U_10000,rep2,sequencing_10X,CircleSeeker,5-50kb,326,258,0.7914,CircleSeeker
human_U_10000,rep3,sequencing_10X,CircleSeeker,5-50kb,354,281,0.7938,CircleSeeker
human_U_10000,rep1,sequencing_10X,CircleSeeker,>50kb,277,172,0.6209,CircleSeeker
human_U_10000,rep2,sequencing_10X,CircleSeeker,>50kb,274,175,0.6387,CircleSeeker
human_U_10000,rep3,sequencing_10X,CircleSeeker,>50kb,242,158,0.6529,CircleSeeker
human_U_10000,rep1,sequencing_10X,CReSIL_HiFi,<1kb,5804,3841,0.6618,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_10X,CReSIL_HiFi,<1kb,5826,3800,0.6522,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_10X,CReSIL_HiFi,<1kb,5842,3828,0.6553,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_10X,CReSIL_HiFi,1-5kb,3558,2369,0.6658,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_10X,CReSIL_HiFi,1-5kb,3574,2318,0.6486,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_10X,CReSIL_HiFi,1-5kb,3562,2284,0.6412,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_10X,CReSIL_HiFi,5-50kb,361,268,0.7424,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_10X,CReSIL_HiFi,5-50kb,326,243,0.7454,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_10X,CReSIL_HiFi,5-50kb,354,248,0.7006,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_10X,CReSIL_HiFi,>50kb,277,176,0.6354,CReSIL-HiFi (author-created HiFi adaptation)
