Genome,Rep,Depth,Tool,EvalType,Truth,Detected,TP,FP,FN,Precision,Recall,F1,Redundancy,tool_display
human_U_10000,rep1,sequencing_10X,CircleSeeker,Overall,10000,9375.0,9344,31.0,656,0.9967,0.9344,0.9645,,CircleSeeker
human_U_10000,rep2,sequencing_10X,CircleSeeker,Overall,10000,9339.0,9316,23.0,684,0.9975,0.9316,0.9634,,CircleSeeker
human_U_10000,rep3,sequencing_10X,CircleSeeker,Overall,10000,9374.0,9345,29.0,655,0.9969,0.9345,0.9647,,CircleSeeker
human_U_10000,rep1,sequencing_10X,CReSIL_HiFi,Overall,10000,6759.0,6654,105.0,3346,0.9845,0.6654,0.7941,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_10X,CReSIL_HiFi,Overall,10000,6637.0,6537,100.0,3463,0.9849,0.6537,0.7858,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_10X,CReSIL_HiFi,Overall,10000,6623.0,6518,105.0,3482,0.9841,0.6518,0.7842,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_10X,CReSIL,Overall,10000,5660.0,5318,342.0,4682,0.9396,0.5318,0.6792,,CReSIL
human_U_10000,rep2,sequencing_10X,CReSIL,Overall,10000,5502.0,5183,319.0,4817,0.942,0.5183,0.6687,,CReSIL
human_U_10000,rep3,sequencing_10X,CReSIL,Overall,10000,5459.0,5163,296.0,4837,0.9458,0.5163,0.668,,CReSIL
human_U_10000,rep1,sequencing_10X,eccDNA_RCA,Overall,10000,8458.0,7391,1067.0,2609,0.8738,0.7391,0.8008,1.68,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_10X,eccDNA_RCA,Overall,10000,8302.0,7262,1040.0,2738,0.8747,0.7262,0.7936,1.66,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_10X,eccDNA_RCA,Overall,10000,8342.0,7329,1013.0,2671,0.8786,0.7329,0.7991,1.68,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_10X,CircleMap,Overall,10000,1118.0,1115,3.0,8885,0.9973,0.1115,0.2006,,Circle-Map
human_U_10000,rep2,sequencing_10X,CircleMap,Overall,10000,1097.0,1086,11.0,8914,0.99,0.1086,0.1957,,Circle-Map
human_U_10000,rep3,sequencing_10X,CircleMap,Overall,10000,1103.0,1094,9.0,8906,0.9918,0.1094,0.1971,,Circle-Map
human_U_10000,rep1,sequencing_10X,ecc_finder,Overall,10000,841.0,805,36.0,9195,0.9572,0.0805,0.1485,,ecc_finder
human_U_10000,rep2,sequencing_10X,ecc_finder,Overall,10000,828.0,794,34.0,9206,0.9589,0.0794,0.1467,,ecc_finder
human_U_10000,rep3,sequencing_10X,ecc_finder,Overall,10000,813.0,782,31.0,9218,0.9619,0.0782,0.1446,,ecc_finder
human_U_10000,rep1,sequencing_30X,CircleSeeker,Overall,10000,9893.0,9856,37.0,144,0.9963,0.9856,0.9909,,CircleSeeker
human_U_10000,rep2,sequencing_30X,CircleSeeker,Overall,10000,9892.0,9860,32.0,140,0.9968,0.986,0.9914,,CircleSeeker
human_U_10000,rep3,sequencing_30X,CircleSeeker,Overall,10000,9894.0,9845,49.0,155,0.995,0.9845,0.9897,,CircleSeeker
human_U_10000,rep1,sequencing_30X,CReSIL_HiFi,Overall,10000,9004.0,8992,12.0,1008,0.9987,0.8992,0.9463,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_30X,CReSIL_HiFi,Overall,10000,8907.0,8881,26.0,1119,0.9971,0.8881,0.9394,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_30X,CReSIL_HiFi,Overall,10000,9014.0,8987,27.0,1013,0.997,0.8987,0.9453,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_30X,CReSIL,Overall,10000,8246.0,8144,102.0,1856,0.9876,0.8144,0.8927,,CReSIL
human_U_10000,rep2,sequencing_30X,CReSIL,Overall,10000,8075.0,7971,104.0,2029,0.9871,0.7971,0.882,,CReSIL
human_U_10000,rep3,sequencing_30X,CReSIL,Overall,10000,8174.0,8068,106.0,1932,0.987,0.8068,0.8879,,CReSIL
human_U_10000,rep1,sequencing_30X,eccDNA_RCA,Overall,10000,11748.0,8543,3205.0,1457,0.7272,0.8543,0.7856,3.28,eccDNA_RCA_nanopore
human_U_10000,rep2,sequencing_30X,eccDNA_RCA,Overall,10000,11661.0,8509,3152.0,1491,0.7297,0.8509,0.7857,3.22,eccDNA_RCA_nanopore
human_U_10000,rep3,sequencing_30X,eccDNA_RCA,Overall,10000,11709.0,8533,3176.0,1467,0.7288,0.8533,0.7861,3.26,eccDNA_RCA_nanopore
human_U_10000,rep1,sequencing_30X,CircleMap,Overall,10000,8050.0,7907,143.0,2093,0.9822,0.7907,0.8761,,Circle-Map
human_U_10000,rep2,sequencing_30X,CircleMap,Overall,10000,8012.0,7884,128.0,2116,0.984,0.7884,0.8754,,Circle-Map
human_U_10000,rep3,sequencing_30X,CircleMap,Overall,10000,7984.0,7841,143.0,2159,0.9821,0.7841,0.872,,Circle-Map
human_U_10000,rep1,sequencing_30X,ecc_finder,Overall,10000,3775.0,3556,219.0,6444,0.942,0.3556,0.5163,,ecc_finder
human_U_10000,rep2,sequencing_30X,ecc_finder,Overall,10000,3796.0,3566,230.0,6434,0.9394,0.3566,0.517,,ecc_finder
human_U_10000,rep3,sequencing_30X,ecc_finder,Overall,10000,3788.0,3557,231.0,6443,0.939,0.3557,0.516,,ecc_finder
human_U_10000,rep1,sequencing_50X,CircleSeeker,Overall,10000,9939.0,9896,43.0,104,0.9957,0.9896,0.9926,,CircleSeeker
human_U_10000,rep2,sequencing_50X,CircleSeeker,Overall,10000,9949.0,9903,46.0,97,0.9954,0.9903,0.9928,,CircleSeeker
human_U_10000,rep3,sequencing_50X,CircleSeeker,Overall,10000,9990.0,9910,80.0,90,0.992,0.991,0.9915,,CircleSeeker
human_U_10000,rep1,sequencing_50X,CReSIL_HiFi,Overall,10000,9235.0,9222,13.0,778,0.9986,0.9222,0.9589,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep2,sequencing_50X,CReSIL_HiFi,Overall,10000,9168.0,9144,24.0,856,0.9974,0.9144,0.9541,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep3,sequencing_50X,CReSIL_HiFi,Overall,10000,9236.0,9215,21.0,785,0.9977,0.9215,0.9581,,CReSIL-HiFi (author-created HiFi adaptation)
human_U_10000,rep1,sequencing_50X,CReSIL,Overall,10000,8719.0,8641,78.0,1359,0.9911,0.8641,0.9232,,CReSIL
