Genome,Depth,Tool,tool_display,EvalType,n_replicates,Truth_mean,Detected_mean,TP_mean,FP_mean,FN_mean,Precision_mean,Recall_mean,F1_mean,Redundancy_mean,Truth_sd,Detected_sd,TP_sd,FP_sd,FN_sd,Precision_sd,Recall_sd,F1_sd,Redundancy_sd
human_U_10000,sequencing_10X,CircleSeeker,CircleSeeker,Overall,3,10000.0,9362.6667,9335.0,27.6667,665.0,0.997,0.9335,0.9642,,0.0,20.502,16.4621,4.1633,16.4621,0.0004,0.0016,0.0007,
human_U_10000,sequencing_10X,CReSIL_HiFi,CReSIL-HiFi (author-created HiFi adaptation),Overall,3,10000.0,6673.0,6569.6667,103.3333,3430.3333,0.9845,0.657,0.788,,0.0,74.8064,73.6501,2.8868,73.6501,0.0004,0.0074,0.0053,
human_U_10000,sequencing_10X,CReSIL,CReSIL,Overall,3,10000.0,5540.3333,5221.3333,319.0,4778.6667,0.9425,0.5221,0.672,,0.0,105.8411,84.3109,23.0,84.3109,0.0031,0.0084,0.0063,
human_U_10000,sequencing_10X,eccDNA_RCA,eccDNA_RCA_nanopore,Overall,3,10000.0,8367.3333,7327.3333,1040.0,2672.6667,0.8757,0.7327,0.7978,1.6733,0.0,81.0267,64.5161,27.0,64.5161,0.0026,0.0065,0.0038,0.0115
human_U_10000,sequencing_10X,CircleMap,Circle-Map,Overall,3,10000.0,1106.0,1098.3333,7.6667,8901.6667,0.993,0.1098,0.1978,,0.0,10.8167,14.9778,4.1633,14.9778,0.0038,0.0015,0.0025,
human_U_10000,sequencing_10X,ecc_finder,ecc_finder,Overall,3,10000.0,827.3333,793.6667,33.6667,9206.3333,0.9593,0.0794,0.1466,,0.0,14.0119,11.5036,2.5166,11.5036,0.0024,0.0012,0.002,
human_U_10000,sequencing_30X,CircleSeeker,CircleSeeker,Overall,3,10000.0,9893.0,9853.6667,39.3333,146.3333,0.996,0.9854,0.9907,,0.0,1.0,7.7675,8.7369,7.7675,0.0009,0.0008,0.0009,
human_U_10000,sequencing_30X,CReSIL_HiFi,CReSIL-HiFi (author-created HiFi adaptation),Overall,3,10000.0,8975.0,8953.3333,21.6667,1046.6667,0.9976,0.8953,0.9437,,0.0,59.1016,62.6924,8.3865,62.6924,0.001,0.0063,0.0037,
human_U_10000,sequencing_30X,CReSIL,CReSIL,Overall,3,10000.0,8165.0,8061.0,104.0,1939.0,0.9872,0.8061,0.8875,,0.0,85.8545,86.7122,2.0,86.7122,0.0003,0.0087,0.0054,
human_U_10000,sequencing_30X,eccDNA_RCA,eccDNA_RCA_nanopore,Overall,3,10000.0,11706.0,8528.3333,3177.6667,1471.6667,0.7286,0.8528,0.7858,3.2533,0.0,43.5775,17.4738,26.5393,17.4738,0.0013,0.0017,0.0003,0.0306
human_U_10000,sequencing_30X,CircleMap,Circle-Map,Overall,3,10000.0,8015.3333,7877.3333,138.0,2122.6667,0.9828,0.7877,0.8745,,0.0,33.126,33.5012,8.6603,33.5012,0.0011,0.0034,0.0022,
human_U_10000,sequencing_30X,ecc_finder,ecc_finder,Overall,3,10000.0,3786.3333,3559.6667,226.6667,6440.3333,0.9401,0.356,0.5164,,0.0,10.5987,5.5076,6.6583,5.5076,0.0016,0.0006,0.0005,
human_U_10000,sequencing_50X,CircleSeeker,CircleSeeker,Overall,3,10000.0,9959.3333,9903.0,56.3333,97.0,0.9944,0.9903,0.9923,,0.0,27.0247,7.0,20.5508,7.0,0.0021,0.0007,0.0007,
human_U_10000,sequencing_50X,CReSIL_HiFi,CReSIL-HiFi (author-created HiFi adaptation),Overall,3,10000.0,9213.0,9193.6667,19.3333,806.3333,0.9979,0.9194,0.957,,0.0,38.9744,43.1548,5.6862,43.1548,0.0006,0.0043,0.0026,
human_U_10000,sequencing_50X,CReSIL,CReSIL,Overall,3,10000.0,8671.0,8586.0,85.0,1414.0,0.9902,0.8586,0.9197,,0.0,57.0,65.1844,8.1854,65.1844,0.001,0.0065,0.0042,
human_U_10000,sequencing_50X,eccDNA_RCA,eccDNA_RCA_nanopore,Overall,3,10000.0,13862.0,8816.6667,5045.3333,1183.3333,0.6361,0.8817,0.739,4.4867,0.0,72.0278,17.0392,70.6706,17.0392,0.0033,0.0017,0.0024,0.0321
human_U_10000,sequencing_50X,CircleMap,Circle-Map,Overall,3,10000.0,8686.3333,8456.0,230.3333,1544.0,0.9735,0.8456,0.905,,0.0,43.9811,29.8161,18.037,29.8161,0.002,0.003,0.0013,
human_U_10000,sequencing_50X,ecc_finder,ecc_finder,Overall,3,10000.0,4465.3333,4219.3333,246.0,5780.6667,0.9449,0.4219,0.5834,,0.0,42.7824,38.8373,7.2111,38.8373,0.0014,0.0039,0.0037,
