Genome,Rep,Depth,Tool,EvalType,Truth,Detected,TP,FP,FN,Precision,Recall,F1,Redundancy,tool_display
ara_UMC_5200,rep1,sequencing_10X,CircleSeeker,Uecc,4000,3705.0,3689,22.0,311,0.9941,0.9223,0.9568,,CircleSeeker
ara_UMC_5200,rep2,sequencing_10X,CircleSeeker,Uecc,4000,3691.0,3665,31.0,335,0.9916,0.9163,0.9524,,CircleSeeker
ara_UMC_5200,rep3,sequencing_10X,CircleSeeker,Uecc,4000,3698.0,3681,23.0,319,0.9938,0.9203,0.9556,,CircleSeeker
ara_UMC_5200,rep1,sequencing_10X,CReSIL_HiFi,Uecc,4000,,1731,,2269,,0.4328,,,CReSIL-HiFi (author-created HiFi adaptation)
ara_UMC_5200,rep2,sequencing_10X,CReSIL_HiFi,Uecc,4000,,1782,,2218,,0.4455,,,CReSIL-HiFi (author-created HiFi adaptation)
ara_UMC_5200,rep3,sequencing_10X,CReSIL_HiFi,Uecc,4000,,1818,,2182,,0.4545,,,CReSIL-HiFi (author-created HiFi adaptation)
ara_UMC_5200,rep1,sequencing_10X,CReSIL,Uecc,4000,,1444,,2556,,0.361,,,CReSIL
ara_UMC_5200,rep2,sequencing_10X,CReSIL,Uecc,4000,,1452,,2548,,0.363,,,CReSIL
ara_UMC_5200,rep3,sequencing_10X,CReSIL,Uecc,4000,,1500,,2500,,0.375,,,CReSIL
ara_UMC_5200,rep1,sequencing_10X,eccDNA_RCA,Uecc,4000,,2977,,1023,,0.7442,,1.67,eccDNA_RCA_nanopore
ara_UMC_5200,rep2,sequencing_10X,eccDNA_RCA,Uecc,4000,,2977,,1023,,0.7442,,1.67,eccDNA_RCA_nanopore
ara_UMC_5200,rep3,sequencing_10X,eccDNA_RCA,Uecc,4000,,2987,,1013,,0.7468,,1.67,eccDNA_RCA_nanopore
ara_UMC_5200,rep1,sequencing_10X,CircleMap,Uecc,4000,,459,,3541,,0.1148,,,Circle-Map
ara_UMC_5200,rep2,sequencing_10X,CircleMap,Uecc,4000,,458,,3542,,0.1145,,,Circle-Map
ara_UMC_5200,rep3,sequencing_10X,CircleMap,Uecc,4000,,425,,3575,,0.1062,,,Circle-Map
ara_UMC_5200,rep1,sequencing_10X,ecc_finder,Uecc,4000,,22,,3978,,0.0055,,,ecc_finder
ara_UMC_5200,rep2,sequencing_10X,ecc_finder,Uecc,4000,,25,,3975,,0.0063,,,ecc_finder
ara_UMC_5200,rep3,sequencing_10X,ecc_finder,Uecc,4000,,26,,3974,,0.0065,,,ecc_finder
