Genome,Depth,Tool,tool_display,EvalType,n_replicates,Truth_mean,Detected_mean,TP_mean,FP_mean,FN_mean,Precision_mean,Recall_mean,F1_mean,Redundancy_mean,Truth_sd,Detected_sd,TP_sd,FP_sd,FN_sd,Precision_sd,Recall_sd,F1_sd,Redundancy_sd
ara_UMC_5200,sequencing_10X,CircleSeeker,CircleSeeker,Uecc,3,4000.0,3698.0,3678.3333,25.3333,321.6667,0.9932,0.9196,0.9549,,0.0,7.0,12.2202,4.9329,12.2202,0.0014,0.0031,0.0023,
ara_UMC_5200,sequencing_10X,CReSIL_HiFi,CReSIL-HiFi (author-created HiFi adaptation),Uecc,3,4000.0,,1777.0,,2223.0,,0.4443,,,0.0,,43.715,,43.715,,0.0109,,
ara_UMC_5200,sequencing_10X,CReSIL,CReSIL,Uecc,3,4000.0,,1465.3333,,2534.6667,,0.3663,,,0.0,,30.2875,,30.2875,,0.0076,,
ara_UMC_5200,sequencing_10X,eccDNA_RCA,eccDNA_RCA_nanopore,Uecc,3,4000.0,,2980.3333,,1019.6667,,0.7451,,1.67,0.0,,5.7735,,5.7735,,0.0015,,0.0
ara_UMC_5200,sequencing_10X,CircleMap,Circle-Map,Uecc,3,4000.0,,447.3333,,3552.6667,,0.1118,,,0.0,,19.3477,,19.3477,,0.0049,,
ara_UMC_5200,sequencing_10X,ecc_finder,ecc_finder,Uecc,3,4000.0,,24.3333,,3975.6667,,0.0061,,,0.0,,2.0817,,2.0817,,0.0005,,
ara_UMC_5200,sequencing_30X,CircleSeeker,CircleSeeker,Uecc,3,4000.0,3891.3333,3875.3333,23.0,124.6667,0.9941,0.9689,0.9813,,0.0,6.5064,2.5166,8.7178,2.5166,0.0022,0.0006,0.0014,
ara_UMC_5200,sequencing_30X,CReSIL_HiFi,CReSIL-HiFi (author-created HiFi adaptation),Uecc,3,4000.0,,2356.6667,,1643.3333,,0.5892,,,0.0,,71.5705,,71.5705,,0.0179,,
ara_UMC_5200,sequencing_30X,CReSIL,CReSIL,Uecc,3,4000.0,,2226.3333,,1773.6667,,0.5566,,,0.0,,85.9787,,85.9787,,0.0215,,
ara_UMC_5200,sequencing_30X,eccDNA_RCA,eccDNA_RCA_nanopore,Uecc,3,4000.0,,3487.3333,,512.6667,,0.8718,,3.17,0.0,,24.0069,,24.0069,,0.006,,0.03
ara_UMC_5200,sequencing_30X,CircleMap,Circle-Map,Uecc,3,4000.0,,3098.3333,,901.6667,,0.7746,,,0.0,,26.5581,,26.5581,,0.0066,,
ara_UMC_5200,sequencing_30X,ecc_finder,ecc_finder,Uecc,3,4000.0,,73.6667,,3926.3333,,0.0184,,,0.0,,5.1316,,5.1316,,0.0013,,
ara_UMC_5200,sequencing_50X,CircleSeeker,CircleSeeker,Uecc,3,4000.0,3922.0,3901.3333,27.6667,98.6667,0.993,0.9754,0.9841,,0.0,9.8489,4.9329,5.5076,4.9329,0.0014,0.0013,0.0005,
ara_UMC_5200,sequencing_50X,CReSIL_HiFi,CReSIL-HiFi (author-created HiFi adaptation),Uecc,3,4000.0,,2425.6667,,1574.3333,,0.6064,,,0.0,,74.144,,74.144,,0.0185,,
ara_UMC_5200,sequencing_50X,CReSIL,CReSIL,Uecc,3,4000.0,,2368.3333,,1631.6667,,0.5921,,,0.0,,79.5885,,79.5885,,0.0199,,
ara_UMC_5200,sequencing_50X,eccDNA_RCA,eccDNA_RCA_nanopore,Uecc,3,4000.0,,3606.3333,,393.6667,,0.9016,,4.31,0.0,,5.5076,,5.5076,,0.0014,,0.0608
ara_UMC_5200,sequencing_50X,CircleMap,Circle-Map,Uecc,3,4000.0,,3296.6667,,703.3333,,0.8242,,,0.0,,8.0829,,8.0829,,0.002,,
ara_UMC_5200,sequencing_50X,ecc_finder,ecc_finder,Uecc,3,4000.0,,99.3333,,3900.6667,,0.0248,,,0.0,,7.7675,,7.7675,,0.002,,
human_23000,sequencing_10X,CircleSeeker,CircleSeeker,Uecc,3,20000.0,18731.6667,18618.3333,154.0,1381.6667,0.9918,0.9309,0.9604,,0.0,26.1024,34.7898,2.6458,34.7898,0.0002,0.0018,0.001,
human_23000,sequencing_10X,CReSIL_HiFi,CReSIL-HiFi (author-created HiFi adaptation),Uecc,3,20000.0,,12524.0,,7476.0,,0.6262,,,0.0,,101.7988,,101.7988,,0.0051,,
human_23000,sequencing_10X,CReSIL,CReSIL,Uecc,3,20000.0,,9799.6667,,10200.3333,,0.49,,,0.0,,131.4242,,131.4242,,0.0066,,
human_23000,sequencing_10X,eccDNA_RCA,eccDNA_RCA_nanopore,Uecc,3,20000.0,,14569.3333,,5430.6667,,0.7285,,1.6567,0.0,,145.5003,,145.5003,,0.0073,,0.0115
human_23000,sequencing_10X,CircleMap,Circle-Map,Uecc,3,20000.0,,10600.6667,,9399.3333,,0.53,,,0.0,,85.4244,,85.4244,,0.0043,,
human_23000,sequencing_10X,ecc_finder,ecc_finder,Uecc,3,20000.0,,1857.3333,,18142.6667,,0.0928,,,0.0,,51.7333,,51.7333,,0.0026,,
human_23000,sequencing_30X,CircleSeeker,CircleSeeker,Uecc,3,20000.0,19763.3333,19656.6667,152.0,343.3333,0.9923,0.9828,0.9875,,0.0,4.0415,2.3094,4.3589,2.3094,0.0002,0.0001,0.0001,
human_23000,sequencing_30X,CReSIL_HiFi,CReSIL-HiFi (author-created HiFi adaptation),Uecc,3,20000.0,,16908.6667,,3091.3333,,0.8454,,,0.0,,73.5482,,73.5482,,0.0037,,
human_23000,sequencing_30X,CReSIL,CReSIL,Uecc,3,20000.0,,15222.0,,4778.0,,0.7611,,,0.0,,95.8958,,95.8958,,0.0048,,
human_23000,sequencing_30X,eccDNA_RCA,eccDNA_RCA_nanopore,Uecc,3,20000.0,,17056.6667,,2943.3333,,0.8528,,3.14,0.0,,80.3638,,80.3638,,0.0041,,0.0265
human_23000,sequencing_30X,CircleMap,Circle-Map,Uecc,3,20000.0,,15698.6667,,4301.3333,,0.7849,,,0.0,,85.3307,,85.3307,,0.0043,,
human_23000,sequencing_30X,ecc_finder,ecc_finder,Uecc,3,20000.0,,2286.0,,17714.0,,0.1143,,,0.0,,270.2721,,270.2721,,0.0135,,
human_23000,sequencing_50X,CircleSeeker,CircleSeeker,Uecc,3,20000.0,19872.6667,19757.3333,162.0,242.6667,0.9918,0.9879,0.9898,,0.0,4.0415,3.5119,11.1355,3.5119,0.0006,0.0002,0.0004,
human_23000,sequencing_50X,CReSIL_HiFi,CReSIL-HiFi (author-created HiFi adaptation),Uecc,3,20000.0,,17381.0,,2619.0,,0.8691,,,0.0,,45.0333,,45.0333,,0.0022,,
human_23000,sequencing_50X,CReSIL,CReSIL,Uecc,3,20000.0,,16191.0,,3809.0,,0.8096,,,0.0,,74.9066,,74.9066,,0.0037,,
human_23000,sequencing_50X,eccDNA_RCA,eccDNA_RCA_nanopore,Uecc,3,20000.0,,17606.0,,2394.0,,0.8803,,4.3133,0.0,,49.366,,49.366,,0.0025,,0.0208
human_23000,sequencing_50X,CircleMap,Circle-Map,Uecc,3,20000.0,,16830.3333,,3169.6667,,0.8415,,,0.0,,87.5804,,87.5804,,0.0044,,
human_23000,sequencing_50X,ecc_finder,ecc_finder,Uecc,3,20000.0,,2253.6667,,17746.3333,,0.1127,,,0.0,,146.6777,,146.6777,,0.0073,,
